Brnd_Name,total_spending,total_claims,year,rank
Pr Natal 400 EC,,,2019,2758
Alburx,,,2019,2758
Apexicon E,,,2019,2758
Dexlansoprazole Dr,,,2019,2758
Lumryz,,,2019,2758
Hailey,,,2019,2758
Metyrosine,,,2019,2758
Ciprodex,,,2019,2758
Ferriprox (3 Times A Day),,,2019,2758
Imjudo,,,2019,2758
Lapatinib,,,2019,2758
Lyumjev,,,2019,2758
Aklief,,,2019,2758
Novolin N Flexpen,,,2019,2758
Levemir Flexpen,,,2019,2758
Fiasp Pumpcart,,,2019,2758
Briumvi,,,2019,2758
Fosamax,,,2019,2758
Lucemyra,,,2019,2758
Mycapssa,,,2019,2758
Akeega,,,2019,2758
Atorvaliq,,,2019,2758
Dartisla,,,2019,2758
Givlaari,,,2019,2758
Jemperli,,,2019,2758
Lybalvi,,,2019,2758
Orserdu,,,2019,2758
Azopt,,,2019,2758
Ciloxan,,,2019,2758
Evkeeza,,,2019,2758
Bismuth-Metronidazole-Tetracyc,,,2019,2758
Budesonide-Formoterol Fumarate,,,2019,2758
Fingolimod,,,2019,2758
Ogivri,,,2019,2758
Asmanex HFA,,,2019,2758
Epifoam,,,2019,2758
Igalmi,,,2019,2758
Microgestin 24 Fe,,,2019,2758
Phexxi,,,2019,2758
Mafenide Acetate,,,2019,2758
Durysta,,,2019,2758
Fetroja,,,2019,2758
Novolin R Flexpen,,,2019,2758
Nuvaring,,,2019,2758
Ajovy Autoinjector,,,2019,2758
Dabigatran Etexilate,,,2019,2758
Lanreotide Acetate,,,2019,2758
Lyumjev Kwikpen U-200,,,2019,2758
Padcev,,,2019,2758
Pandel,,,2019,2758
Besremi,,,2019,2758
Eysuvis,,,2019,2758
Haloette,,,2019,2758
Humatin,,,2019,2758
Ojjaara,,,2019,2758
Corgard,,,2019,2758
Insulin Lispro Junior Kwikpen,,,2019,2758
Lipofen,,,2019,2758
Charlotte 24 Fe,,,2019,2758
Fintepla,,,2019,2758
Orenitram Month 2 Titration Kt,,,2019,2758
Apretude,,,2019,2758
Elfolate,,,2019,2758
Niva Thyroid,,,2019,2758
Dichlorphenamide,,,2019,2758
Lagevrio (Eua),,,2019,2758
Accutane,,,2019,2758
Grastek,,,2019,2758
Ilevro,,,2019,2758
Magnesium Chloride,,,2019,2758
Bafiertam,,,2019,2758
Diskets,,,2019,2758
Fruzaqla,,,2019,2758
Jatenzo,,,2019,2758
Elfabrio,,,2019,2758
Ferriprox,,,2019,2758
Oriahnn,,,2019,2758
PEG3350-Sod Sul-NaCl-KCl-Asb-C,,,2019,2758
Konvomep,,,2019,2758
Emtricitabine,,,2019,2758
Eylea Hd,,,2019,2758
Armonair Digihaler,,,2019,2758
Easy Touch Luer Lock Insulin,,,2019,2758
Efavirenz-Emtric-Tenofov Disop,,,2019,2758
Entyvio Pen,,,2019,2758
Herzuma,,,2019,2758
Nipent,,,2019,2758
Ortikos,,,2019,2758
Annovera,,,2019,2758
Icosapent Ethyl,,,2019,2758
Deferiprone,,,2019,2758
Heplisav-B,,,2019,2758
Maxicomfort Safety Pen Needle,,,2019,2758
Leqvio,,,2019,2758
Nexletol,,,2019,2758
Basaglar Tempo Pen U-100,,,2019,2758
Cyltezo(Cf) Pen,,,2019,2758
Phentermine HCl,,,2019,2758
Estradiol Valerate,,,2019,2758
Fluticasone-Salmeterol HFA,,,2019,2758
Gvoke,,,2019,2758
Me-Naphos-Mb-Hyo 1,,,2019,2758
Asceniv,,,2019,2758
Gvoke Hypopen 2-Pack,,,2019,2758
Livtencity,,,2019,2758
Clinolipid,,,2019,2758
Insulin Glargine-Yfgn,,,2019,2758
Orenitram Month 3 Titration Kt,,,2019,2758
Pemazyre,,,2019,2758
Ciprofloxacin-Dexamethasone,,,2019,2758
Comtan,,,2019,2758
Exkivity,,,2019,2758
Doxil,,,2019,2758
Kesimpta Pen,,,2019,2758
Gamifant,,,2019,2758
Levamlodipine Maleate,,,2019,2758
Lithium Citrate,,,2019,2758
Onzetra Xsail,,,2019,2758
Lubiprostone,,,2019,2758
Marinol,,,2019,2758
Myfembree,,,2019,2758
Nexviazyme,,,2019,2758
Dimethyl Fumarate,,,2019,2758
Auvelity,,,2019,2758
Fylnetra,,,2019,2758
Nextstellis,,,2019,2758
Amphotericin B Liposome,,,2019,2758
Hyrimoz(Cf) Pen,,,2019,2758
Adalimumab-Fkjp(Cf) Pen,,,2019,2758
Gemtesa,,,2019,2758
Jaypirca,,,2019,2758
Kloxxado,,,2019,2758
Onureg,,,2019,2758
Adbry,,,2019,2758
Orlistat,,,2019,2758
Nyvepria,,,2019,2758
Furoscix,,,2019,2758
Bidil,,,2019,2758
Cosela,,,2019,2758
Prialt,,,2019,2758
Bimzelx Autoinjector,,,2019,2758
Dodex,,,2019,2758
Natesto,,,2019,2758
Enjaymo,,,2019,2758
Insulin Aspart Penfill,,,2019,2758
Orenitram Month 1 Titration Kt,,,2019,2758
Hadlima,,,2019,2758
Nexplanon,,,2019,2758
Amzeeq,,,2019,2758
Albuked-25,,,2019,2758
Bepotastine Besilate,,,2019,2758
Enspryng,,,2019,2758
Fleqsuvy,,,2019,2758
Jaimiess,,,2019,2758
Mounjaro,,,2019,2758
Odactra,,,2019,2758
Adalimumab-Adaz(Cf) Pen,,,2019,2758
Lenalidomide,,,2019,2758
Airsupra,,,2019,2758
Hailey Fe,,,2019,2758
Ala-Scalp,,,2019,2758
Bivigam,,,2019,2758
Lyvispah,,,2019,2758
Movantik,,,2019,2758
Cortrophin,,,2019,2758
Efavirenz-Lamivu-Tenofov Disop,,,2019,2758
Fotivda,,,2019,2758
Keveyis,,,2019,2758
Nitisinone,,,2019,2758
Absorica Ld,,,2019,2758
Adlarity,,,2019,2758
Crotan,,,2019,2758
Comfort Touch Pen Needle,,,2019,2758
Austedo XR Titration Kt(Wk1-4),,,2019,2758
Maraviroc,,,2019,2758
Pazopanib HCl,,,2019,2758
Promethazine Vc-Codeine,,,2019,2758
Tiopronin,,,2019,2758
Treximet,,,2019,2758
Tyvaso Starter Kit,,,2019,2758
Sodium Oxybate,,,2019,2758
Teriflunomide,,,2019,2758
Turalio,,,2019,2758
Zavzpret,,,2019,2758
Rosuvastatin-Ezetimibe,,,2019,2758
Udenyca Autoinjector,,,2019,2758
Vitafol Fe Plus,,,2019,2758
Vanflyta,,,2019,2758
Sapropterin Dihydrochloride,,,2019,2758
Skyrizi On-Body,,,2019,2758
Relyvrio,,,2019,2758
Retevmo,,,2019,2758
Xdemvy,,,2019,2758
Tecvayli,,,2019,2758
Unifine Pentips Maxflow,,,2019,2758
Truqap,,,2019,2758
Ultra Flo Insulin Syringe,,,2019,2758
Verkazia,,,2019,2758
Welireg,,,2019,2758
Soltamox,,,2019,2758
Trazimera,,,2019,2758
Zoryve,,,2019,2758
Tosymra,,,2019,2758
Travatan Z,,,2019,2758
Uplizna,,,2019,2758
Rivelsa,,,2019,2758
Xphozah,,,2019,2758
Vitrakvi,,,2019,2758
Vivjoa,,,2019,2758
Ziprasidone Mesylate,,,2019,2758
Rolvedon,,,2019,2758
Tabrecta,,,2019,2758
Sorafenib,,,2019,2758
Relafen Ds,,,2019,2758
Sunitinib Malate,,,2019,2758
Tavaborole,,,2019,2758
Twyneo,,,2019,2758
Singulair,,,2019,2758
Salagen,,,2019,2758
Tri-Vylibra Lo,,,2019,2758
True Comfort Pen Needle,,,2019,2758
Tasimelteon,,,2019,2758
Winlevi,,,2019,2758
Tis-U-Sol Pentalyte,,,2019,2758
Thyquidity,,,2019,2758
Qinlock,,,2019,2758
Signifor Lar,,,2019,2758
Zilxi,,,2019,2758
Qulipta,,,2019,2758
Riabni,,,2019,2758
Vestura,,,2019,2758
Tezspire,,,2019,2758
Rebyota,,,2019,2758
Trodelvy,,,2019,2758
Rezzayo,,,2019,2758
Vtama,,,2019,2758
Roflumilast,,,2019,2758
Ubrelvy,,,2019,2758
Stalevo 150,,,2019,2758
Xenleta*,,,2019,2758
Veozah,,,2019,2758
Stalevo 125,,,2019,2758
True Comfort Pro Pen Needle,,,2019,2758
Raya Sure Pen Needle,,,2019,2758
Stalevo 200,,,2019,2758
Quviviq,,,2019,2758
Recarbrio,,,2019,2758
Secuado,,,2019,2758
Sulfamylon,,,2019,2758
Sunlenca*,,,2019,2758
Vabysmo,,,2019,2758
Xcopri,,,2019,2758
Qalsody,,,2019,2758
Vuity,,,2019,2758
Recorlev,,,2019,2758
Veklury,,,2019,2758
Xermelo,,,2019,2758
Yutiq,,,2019,2758
Sodium Fluoride Sensitive,,,2019,2758
Zegalogue Autoinjector,,,2019,2758
Qelbree,,,2019,2758
Ragwitek,,,2019,2758
Qbrexza,,,2019,2758
Tafluprost,,,2019,2758
Treprostinil,,,2019,2758
Viokace,,,2019,2758
Pure Comfort Alcohol Pad,,,2019,2758
Sajazir,,,2019,2758
Uzedy,,,2019,2758
Tepezza,,,2019,2758
Seglentis,,,2019,2758
Tivicay Pd,,,2019,2758
Vyvgart,,,2019,2758
Vyvgart Hytrulo,,,2019,2758
Sutab,,,2019,2758
Sinemet 10-100,,,2019,2758
Tobi Podhaler,,,2019,2758
Xeloda,,,2019,2758
Zerviate,,,2019,2758
Ztalmy,,,2019,2758
Seysara,,,2019,2758
Wegovy,,,2019,2758
Rybrevant,,,2019,2758
Timolol Maleate,,,2019,2758
Zetia,,,2019,2758
Proscar,,,2019,2758
Skyrizi*,,,2019,2758
Spevigo,,,2019,2758
Sure Comfort Safety Pen Needle,,,2019,2758
Quadracel DTaP-Ipv,,,2019,2758
Securesafe Pen Needle,,,2019,2758
Signifor,,,2019,2758
Vyjuvek,,,2019,2758
Pyrukynd,,,2019,2758
Rezurock,,,2019,2758
Saphnelo,,,2019,2758
Rystiggo,,,2019,2758
Sodium Fluoride 5000 Plus,,,2019,2758
Teriparatide,,,2019,2758
Tyblume,,,2019,2758
Stalevo 75,,,2019,2758
Unifine Pentips Plus Maxflow,,,2019,2758
Westab Plus,,,2019,2758
Ziphex,,,2019,2758
Sotyktu,,,2019,2758
Ropivacaine HCl,,,2019,2758
Zumandimine,,,2019,2758
Talicia,,,2019,2758
Tukysa,,,2019,2758
Sky Safety Pen Needle,,,2019,2758
Syfovre,,,2019,2758
Tolvaptan,,,2019,2758
Tiadylt ER,,,2019,2758
Ultiguard Safepack-Insulin Syr,,,2019,2758
True Comfort Safety Pen Needle,,,2019,2758
Risperidone ER,,,2019,2758
Yusimry(Cf) Pen,,,2019,2758
Rukobia,,,2019,2758
Tobi,,,2019,2758
Vigamox,,,2019,2758
Ticovac,,,2019,2758
Volnea,,,2019,2758
Stalevo 100,,,2019,2758
Reditrex,,,2019,2758
Thalitone,,,2019,2758
Sodium Fluoride 5000 Dry Mouth,,,2019,2758
Xelstrym,,,2019,2758
Sitavig,,,2019,2758
Xywav,,,2019,2758
Zocor,,,2019,2758
Tlando,,,2019,2758
Reblozyl,,,2019,2758
Tyrvaya,,,2019,2758
Zovia 1-35,,,2019,2758
Pyrimethamine,,,2019,2758
Saxenda,,,2019,2758
Tascenso ODT,,,2019,2758
Sodium Fluoride Enamel Protect,,,2019,2758
Tazverik,,,2019,2758
Rena-Vite Rx,,,2019,2758
Tiotropium Bromide,,,2019,2758
Wesnate DHA,,,2019,2758
Temozolomide,,,2019,2758
Remeron,,,2019,2758
Zirabev,,,2019,2758
Sod Sulf-Potass Sulf-Mag Sulf,,,2019,2758
Thyroid,,,2019,2758
True Comfort Pro Ins Syringe,,,2019,2758
Venlafaxine Besylate ER,,,2019,2758
Spinosad,,,2019,2758
Tarpeyo,,,2019,2758
Tazorac,,,2019,2758
Tabloid,,,2019,2758
True Comfort Pro Alcohol Pads,,,2019,2758
Synagis,,,2019,2758
Skyclarys,,,2019,2758
Reltone,,,2019,2758
Rezvoglar Kwikpen,,,2019,2758
Ultiguard Safepack-Pen Needle,,,2019,2758
Quzyttir,,,2019,2758
Zeposia,,,2019,2758
Ryaltris,,,2019,2758
Saxagliptin HCl,,,2019,2758
Rezlidhia,,,2019,2758
Zegalogue Syringe,,,2019,2758
Trijardy XR,,,2019,2758
Ximino,,,2019,2758
Semglee (Yfgn),,,2019,2758
Sinemet 25-100,,,2019,2758
Vijoice,,,2019,2758
Vonjo,,,2019,2758
Radicava Ors,,,2019,2758
Vyepti,,,2019,2758
Zafemy,,,2019,2758
Tavneos,,,2019,2758
Pure Comfort Pen Needle,,,2019,2758
Subsys,,,2019,2758
Trudhesa,,,2019,2758
Ultra Flo Pen Needle,,,2019,2758
Vitamin B-1,,,2019,2758
Rhofade,,,2019,2758
Vibativ,,,2019,2758
Qutenza,,,2019,2758
Semglee (Yfgn) Pen,,,2019,2758
Tobradex St,,,2019,2758
Valtoco,,,2019,2758
Releuko*,,,2019,2758
Sogroya,,,2019,2758
Stalevo 50,,,2019,2758
Vusion,,,2019,2758
Zynlonta,,,2019,2758
Tepmetko,,,2019,2758
Ultilet Insulin Syringe,,,2019,2758
Zepzelca,,,2019,2758
Trelstar,,,2019,2758
Vesicare Ls,,,2019,2758
Xenpozyme,,,2019,2758
Roxybond,,,2019,2758
Tadliq,,,2019,2758
Ulticare Safety Pen Needle,,,2019,2758
Unifine Ultra Pen Needle,,,2019,2758
Yuflyma(Cf) Autoinjector,,,2019,2758
Verquvo,,,2019,2758
Saxagliptin-Metformin ER,,,2019,2758
Tarina 24 Fe,,,2019,2758
Revcovi,,,2019,2758
Tyvaso Dpi,,,2019,2758
Vowst,,,2019,2758
Suflave,,,2019,2758
Safety Pen Needle,,,2019,2758
Truseltiq,,,2019,2758
Varenicline Tartrate,,,2019,2758
Proventil HFA,,,2019,2758
Soaanz,,,2019,2758
Tri-Nymyo,,,2019,2758
Voquezna,,,2019,2758
Tpn Electrolytes,,,2019,2758
Unifine Safecontrol,,,2019,2758
Wescap-Pn DHA,,,2019,2758
Rufinamide,,,2019,2758
Tivdak,,,2019,2758
Sarclisa,,,2019,2758
True Comfort Alcohol Pads,,,2019,2758
Verdeso,,,2019,2758
Ziextenzo,,,2019,2758
Ruxience,,,2019,2758
Truxima,,,2019,2758
Tovet Emollient,,,2019,2758
Zonisade,,,2019,2758
Vilazodone HCl,,,2019,2758
Vyondys-53,,,2019,2758
Vytorin,,,2019,2758
Zimhi,,,2019,2758
Scemblix,,,2019,2758
Skyrizi Pen,,,2019,2758
Xembify,,,2019,2758
Reyvow,,,2019,2758
Marcaine,150.2,24.0,2019,2757
Excilon,256.72,24.0,2019,2756
Gauze Bandage,290.46,64.0,2019,2755
Gauze Pad,348.94,52.0,2019,2754
Xylocaine With Epinephrine,462.68,68.0,2019,2753
Terumo Insulin Syringe,498.08,36.0,2019,2752
Ala-Cort,587.68,96.0,2019,2751
Elite-Thin,819.42,64.0,2019,2750
Ultilet Pen Needle,941.34,82.0,2019,2749
Chateal Eq,1009.62,50.0,2019,2748
Heparin Sodium In 0.45% NaCl,1046.48,24.0,2019,2747
Cyclomydril,1247.9,30.0,2019,2746
Mannitol,1288.4,216.0,2019,2745
Incassia,1320.36,64.0,2019,2744
Brompheniramine-Pseudoephed-DM,1336.12,52.0,2019,2743
Bd Insulin Syringe,1431.9,90.0,2019,2742
Lidocaine HCl-Epinephrine,1468.28,188.0,2019,2741
Monoject,1489.18,142.0,2019,2740
Jasmiel,1861.98,42.0,2019,2739
Krintafel,1890.88,32.0,2019,2738
Maxicomfort II Pen Needle,1903.24,106.0,2019,2737
Silver Nitrate,1937.14,28.0,2019,2736
Curity,2489.68,368.0,2019,2735
Potassium Chloride,2519.84,232.0,2019,2734
Sensorcaine,2555.44,70.0,2019,2733
Oscimin Sl,2556.42,140.0,2019,2732
Sterile Pads,2615.3599999999997,270.0,2019,2731
Easy Glide Insulin Syringe,2636.94,28.0,2019,2730
Tri-Lo-Mili,2662.54,84.0,2019,2729
Betadine,2784.58,134.0,2019,2728
Citranatal B-Calm,2822.94,28.0,2019,2727
Healthwise Pen Needle,2895.3,78.0,2019,2726
Aurovela 24 Fe,2906.34,80.0,2019,2725
IV Prep Wipes,2928.36,94.0,2019,2724
Tetracaine HCl,3066.48,52.0,2019,2723
Multivitamin With Fluoride,3250.2,332.0,2019,2722
Healthwise Insulin Syringe,3253.34,100.0,2019,2721
Safetyglide Syringe,3259.0,398.0,2019,2720
Aurovela Fe,3300.08,164.0,2019,2719
Cyred Eq,3435.76,138.0,2019,2718
Kenalog-80,3524.22,68.0,2019,2717
Sensorcaine-MPF,3551.16,166.0,2019,2716
Band-Aid Gauze Pads,3582.22,398.0,2019,2715
PNV-Omega,3599.76,60.0,2019,2714
Levocarnitine SF,3838.62,52.0,2019,2713
Renal Caps,3871.68,186.0,2019,2712
Potassium Chloride-Dextrose 5%,3883.64,144.0,2019,2711
Enalaprilat,3995.54,30.0,2019,2710
Aurovela,4093.32,114.0,2019,2709
Tetracaine HCl*,4110.48,188.0,2019,2708
Xelpros,4181.76,48.0,2019,2707
Maxi-Comfort,4182.0,244.0,2019,2706
Gauze Pads,4312.8,564.0,2019,2705
Fosphenytoin Sodium,4323.36,34.0,2019,2704
Ultra Thin,4359.78,254.0,2019,2703
Mesna,4455.72,68.0,2019,2702
B-D Single Use Alcohol Swab,4459.32,1338.0,2019,2701
Phenytoin Sodium,4678.36,196.0,2019,2700
Eclipse Syringe,4694.58,134.0,2019,2699
Luer-Lok Syringe,4790.22,212.0,2019,2698
Caretouch Pen Needle,4923.56,186.0,2019,2697
Promethazine-DM,4930.1,664.0,2019,2696
Lidocaine-Hydrocortisone*,5086.12,60.0,2019,2695
Dextrose 10%-0.45% NaCl,5324.3,148.0,2019,2694
Prevident 5000 Ortho Defense,5454.38,304.0,2019,2693
Potassium Acetate,5515.14,176.0,2019,2692
Easy Touch Sheathlock Insulin,5697.56,210.0,2019,2691
Oscimin,5774.72,206.0,2019,2690
Hydrocodone-Homatropine Mbr,6100.78,298.0,2019,2689
Sodium Fluoride*,6367.1,732.0,2019,2688
Clomiphene Citrate,6428.38,62.0,2019,2687
Vistaril,6518.3,48.0,2019,2686
Tydemy,6553.88,28.0,2019,2685
Potassium Phosphate,6713.82,72.0,2019,2684
Dacarbazine,6821.66,90.0,2019,2683
Phenergan*,6869.74,136.0,2019,2682
Niva-Plus,6919.66,454.0,2019,2681
Vincristine Sulfate,7089.76,648.0,2019,2680
Pentamidine Isethionate*,7169.98,54.0,2019,2679
Complete Natal DHA,7231.28,250.0,2019,2678
Bactrim,7366.52,64.0,2019,2677
